solver,problem,problem_size,cost,time_to_solve,solution_status,valid_solution,timed_out_without_tour,timestamp
concorde,zurich_100_29,100,29701.0,0.5010191439650953,Success: Exact solution found. gap is zero,True,False,20260317_124708
concorde,zurich_100_3,100,27839.0,0.0666696010157466,Success: Exact solution found. gap is zero,True,False,20260317_124709
concorde,zurich_100_4,100,30546.0,0.19628216489218175,Success: Exact solution found. gap is zero,True,False,20260317_124709
concorde,zurich_100_5,100,28381.0,1.376413204940036,Success: Exact solution found. gap is zero,True,False,20260317_124709
concorde,zurich_100_6,100,28168.0,0.2794334110803902,Success: Exact solution found. gap is zero,True,False,20260317_124711
concorde,zurich_100_7,100,29704.0,0.15271188807673752,Success: Exact solution found. gap is zero,True,False,20260317_124711
concorde,zurich_100_8,100,31225.0,1.3840483110398054,Success: Exact solution found. gap is zero,True,False,20260317_124711
concorde,zurich_100_9,100,30336.0,0.25881977402605116,Success: Exact solution found. gap is zero,True,False,20260317_124713
concorde,zurich_200_0,200,43866.0,0.6334611510392278,Success: Exact solution found. gap is zero,True,False,20260317_124713
concorde,zurich_200_1,200,41334.0,0.8211126958485693,Success: Exact solution found. gap is zero,True,False,20260317_124713
concorde,zurich_200_10,200,44178.0,0.3646542599890381,Success: Exact solution found. gap is zero,True,False,20260317_124714
concorde,zurich_200_11,200,42437.0,1.4054077069740742,Success: Exact solution found. gap is zero,True,False,20260317_124715
concorde,zurich_200_12,200,41342.0,0.5721706468611956,Success: Exact solution found. gap is zero,True,False,20260317_124716
concorde,zurich_200_13,200,40085.0,1.2205832961481065,Success: Exact solution found. gap is zero,True,False,20260317_124717
concorde,zurich_200_14,200,43995.0,0.665883625857532,Success: Exact solution found. gap is zero,True,False,20260317_124718
concorde,zurich_200_15,200,42317.0,1.5625196129549295,Success: Exact solution found. gap is zero,True,False,20260317_124719
concorde,zurich_200_16,200,43465.0,0.5462781318929046,Success: Exact solution found. gap is zero,True,False,20260317_124720
concorde,zurich_200_17,200,41585.0,0.47646738309413195,Success: Exact solution found. gap is zero,True,False,20260317_124721
concorde,zurich_200_18,200,40830.0,3.400317796971649,Success: Exact solution found. gap is zero,True,False,20260317_124721
concorde,zurich_200_19,200,42643.0,0.770329874008894,Success: Exact solution found. gap is zero,True,False,20260317_124725
concorde,zurich_200_2,200,42850.0,0.5684487649705261,Success: Exact solution found. gap is zero,True,False,20260317_124726
concorde,zurich_200_20,200,41361.0,0.4679305830504745,Success: Exact solution found. gap is zero,True,False,20260317_124726
concorde,zurich_200_21,200,42550.0,2.110768398968503,Success: Exact solution found. gap is zero,True,False,20260317_124727
concorde,zurich_200_22,200,42072.0,0.31577008101157844,Success: Exact solution found. gap is zero,True,False,20260317_124729
concorde,zurich_200_23,200,41398.0,1.4011684719007462,Success: Exact solution found. gap is zero,True,False,20260317_124729
concorde,zurich_200_24,200,42799.0,0.4012703720945865,Success: Exact solution found. gap is zero,True,False,20260317_124731
concorde,zurich_200_25,200,43944.0,0.9272969709709287,Success: Exact solution found. gap is zero,True,False,20260317_124731
concorde,zurich_200_26,200,41535.0,0.3403561320155859,Success: Exact solution found. gap is zero,True,False,20260317_124732
concorde,zurich_200_27,200,40127.0,1.5428007419686764,Success: Exact solution found. gap is zero,True,False,20260317_124733
concorde,zurich_200_28,200,44120.0,0.5408687579911202,Success: Exact solution found. gap is zero,True,False,20260317_124734
concorde,zurich_200_29,200,41526.0,0.4876498740632087,Success: Exact solution found. gap is zero,True,False,20260317_124735
concorde,zurich_200_3,200,44368.0,0.462457476882264,Success: Exact solution found. gap is zero,True,False,20260317_124735
concorde,zurich_200_4,200,41891.0,0.31235558982007205,Success: Exact solution found. gap is zero,True,False,20260317_124736
concorde,zurich_200_5,200,42916.0,0.27145114191807806,Success: Exact solution found. gap is zero,True,False,20260317_124736
concorde,zurich_200_6,200,44826.0,0.3809848160017282,Success: Exact solution found. gap is zero,True,False,20260317_124736
concorde,zurich_200_7,200,42367.0,3.7860606238245964,Success: Exact solution found. gap is zero,True,False,20260317_124737
concorde,zurich_200_8,200,42328.0,1.074636538978666,Success: Exact solution found. gap is zero,True,False,20260317_124741
concorde,zurich_200_9,200,43256.0,0.4498102408833802,Success: Exact solution found. gap is zero,True,False,20260317_124742
concorde,zurich_500_0,500,70602.0,5.175318950088695,Success: Exact solution found. gap is zero,True,False,20260317_124742
concorde,zurich_500_1,500,72347.0,3.818527597002685,Success: Exact solution found. gap is zero,True,False,20260317_124748
concorde,zurich_500_10,500,68871.0,9.722576663130894,Success: Exact solution found. gap is zero,True,False,20260317_124752
concorde,zurich_500_11,500,70767.0,3.5374675078783184,Success: Exact solution found. gap is zero,True,False,20260317_124802
concorde,zurich_500_12,500,68607.0,15.841293439967558,Success: Exact solution found. gap is zero,True,False,20260317_124805
concorde,zurich_500_13,500,71137.0,95.23459602682851,Success: Exact solution found. gap is zero,True,False,20260317_125128
concorde,zurich_500_14,500,69640.0,20.290147395106032,Success: Exact solution found. gap is zero,True,False,20260317_125304
concorde,zurich_500_15,500,68529.0,6.933687197975814,Success: Exact solution found. gap is zero,True,False,20260317_125324
concorde,zurich_500_16,500,68442.0,11.711728007998317,Success: Exact solution found. gap is zero,True,False,20260317_125331
concorde,zurich_500_17,500,72541.0,12.357109955977648,Success: Exact solution found. gap is zero,True,False,20260317_125343
concorde,zurich_500_18,500,71721.0,7.481601238949224,Success: Exact solution found. gap is zero,True,False,20260317_125356
concorde,zurich_500_19,500,70073.0,31.816076618852094,Success: Exact solution found. gap is zero,True,False,20260317_125403
concorde,zurich_500_2,500,69537.0,4.507317133946344,Success: Exact solution found. gap is zero,True,False,20260317_125435
concorde,zurich_500_20,500,66990.0,16.430372601142153,Success: Exact solution found. gap is zero,True,False,20260317_125440
concorde,zurich_500_21,500,66718.0,16.0416733850725,Success: Exact solution found. gap is zero,True,False,20260317_125457
concorde,zurich_500_22,500,68650.0,1.8791871620342135,Success: Exact solution found. gap is zero,True,False,20260317_125513
concorde,zurich_500_23,500,69040.0,10.471193992998451,Success: Exact solution found. gap is zero,True,False,20260317_125515
concorde,zurich_500_24,500,68139.0,6.786508019082248,Success: Exact solution found. gap is zero,True,False,20260317_125526
concorde,zurich_500_25,500,71207.0,6.30263258703053,Success: Exact solution found. gap is zero,True,False,20260317_125532
concorde,zurich_500_26,500,67616.0,11.42004927713424,Success: Exact solution found. gap is zero,True,False,20260317_125539
concorde,zurich_500_27,500,68775.0,2.734519538935274,Success: Exact solution found. gap is zero,True,False,20260317_125551
concorde,zurich_500_28,500,68801.0,5.463456477969885,Success: Exact solution found. gap is zero,True,False,20260317_125553
concorde,zurich_500_29,500,72256.0,3.9757982781156898,Success: Exact solution found. gap is zero,True,False,20260317_125559
concorde,zurich_500_3,500,71901.0,8.834766027983278,Success: Exact solution found. gap is zero,True,False,20260317_125603
concorde,zurich_500_4,500,71208.0,45.79859888320789,Success: Exact solution found. gap is zero,True,False,20260317_125612
concorde,zurich_500_5,500,67232.0,11.439151450060308,Success: Exact solution found. gap is zero,True,False,20260317_125658
concorde,zurich_500_6,500,67505.0,12.076363757951185,Success: Exact solution found. gap is zero,True,False,20260317_125710
concorde,zurich_500_7,500,65817.0,22.40236141299829,Success: Exact solution found. gap is zero,True,False,20260317_125722
concorde,zurich_500_8,500,68964.0,2.0022981360089034,Success: Exact solution found. gap is zero,True,False,20260317_125745
concorde,zurich_500_9,500,68404.0,16.328790342900902,Success: Exact solution found. gap is zero,True,False,20260317_125747
concorde,zurich_1000_0,1000,101741.0,84.80520686600357,Success: Exact solution found. gap is zero,True,False,20260317_125804
concorde,zurich_1000_1,1000,97291.0,13.580022281967103,Success: Exact solution found. gap is zero,True,False,20260317_125929
concorde,zurich_1000_10,1000,101576.0,23.87312811310403,Success: Exact solution found. gap is zero,True,False,20260317_125944
concorde,zurich_1000_11,1000,101733.0,39.21489244699478,Success: Exact solution found. gap is zero,True,False,20260317_130008
concorde,zurich_1000_12,1000,102450.0,94.7395904851146,Success: Exact solution found. gap is zero,True,False,20260317_130048
concorde,zurich_1000_13,1000,100292.0,100.5406920351088,Success: Exact solution found. gap is zero,True,False,20260317_130224
concorde,zurich_1000_14,1000,100240.0,50.86169753107242,Success: Exact solution found. gap is zero,True,False,20260317_130405
concorde,zurich_1000_15,1000,99745.0,79.05734696984291,Success: Exact solution found. gap is zero,True,False,20260317_130457
